| # | Nest | Binarizacion | %Desc |#Iter |      semilla | BestFit |  GotFit |  instancia | time |
-------------------------------------------------------------------------------------------------
| 1 |   25 |   complement |  0.25 | 2500 |1558328959268 |     429 |   459.0 | mscp41.txt |   39 |
| 2 |   25 |   complement |  0.25 | 2500 |1558328998491 |     429 |   454.0 | mscp41.txt |   39 |
| 3 |   25 |   complement |  0.25 | 2500 |1558329037295 |     429 |   453.0 | mscp41.txt |   39 |
| 4 |   25 |   complement |  0.25 | 2500 |1558329076661 |     429 |   456.0 | mscp41.txt |   39 |
| 5 |   25 |   complement |  0.25 | 2500 |1558329115905 |     429 |   459.0 | mscp41.txt |   39 |
| 6 |   25 |   complement |  0.25 | 2500 |1558329155112 |     429 |   459.0 | mscp41.txt |   39 |
| 7 |   25 |   complement |  0.25 | 2500 |1558329194478 |     429 |   447.0 | mscp41.txt |   39 |
| 8 |   25 |   complement |  0.25 | 2500 |1558329233220 |     429 |   461.0 | mscp41.txt |   39 |
| 9 |   25 |   complement |  0.25 | 2500 |1558329272599 |     429 |   459.0 | mscp41.txt |   40 |
|10 |   25 |   complement |  0.25 | 2500 |1558329312572 |     429 |   459.0 | mscp41.txt |   42 |
|11 |   25 |   complement |  0.25 | 2500 |1558329354778 |     429 |   459.0 | mscp41.txt |   42 |
|12 |   25 |   complement |  0.25 | 2500 |1558329396847 |     429 |   459.0 | mscp41.txt |   43 |
|13 |   25 |   complement |  0.25 | 2500 |1558329439625 |     429 |   458.0 | mscp41.txt |   42 |
|14 |   25 |   complement |  0.25 | 2500 |1558329481635 |     429 |   459.0 | mscp41.txt |   42 |
|15 |   25 |   complement |  0.25 | 2500 |1558329523798 |     429 |   459.0 | mscp41.txt |   43 |
|16 |   25 |   complement |  0.25 | 2500 |1558329566717 |     429 |   459.0 | mscp41.txt |   42 |
|17 |   25 |   complement |  0.25 | 2500 |1558329608805 |     429 |   454.0 | mscp41.txt |   42 |
|18 |   25 |   complement |  0.25 | 2500 |1558329650978 |     429 |   459.0 | mscp41.txt |   42 |
|19 |   25 |   complement |  0.25 | 2500 |1558329692965 |     429 |   458.0 | mscp41.txt |   41 |
|20 |   25 |   complement |  0.25 | 2500 |1558329733661 |     429 |   458.0 | mscp41.txt |   41 |
|21 |   25 |   complement |  0.25 | 2500 |1558329774575 |     429 |   459.0 | mscp41.txt |   41 |
|22 |   25 |   complement |  0.25 | 2500 |1558329815743 |     429 |   456.0 | mscp41.txt |   40 |
|23 |   25 |   complement |  0.25 | 2500 |1558329855898 |     429 |   459.0 | mscp41.txt |   41 |
|24 |   25 |   complement |  0.25 | 2500 |1558329897038 |     429 |   459.0 | mscp41.txt |   41 |
|25 |   25 |   complement |  0.25 | 2500 |1558329938259 |     429 |   459.0 | mscp41.txt |   41 |
|26 |   25 |   complement |  0.25 | 2500 |1558329979469 |     429 |   451.0 | mscp41.txt |   41 |
|27 |   25 |   complement |  0.25 | 2500 |1558330020111 |     429 |   457.0 | mscp41.txt |   41 |
|28 |   25 |   complement |  0.25 | 2500 |1558330061126 |     429 |   454.0 | mscp41.txt |   41 |
|29 |   25 |   complement |  0.25 | 2500 |1558330102206 |     429 |   458.0 | mscp41.txt |   41 |
|30 |   25 |   complement |  0.25 | 2500 |1558330143664 |     429 |   461.0 | mscp41.txt |   41 |
|31 |   25 |   complement |  0.25 | 2500 |1558330184982 |     429 |   458.0 | mscp41.txt |   42 |
