| # | Nest | Binarizacion | %Desc |#Iter |      semilla | BestFit |  GotFit |  instancia | time |
-------------------------------------------------------------------------------------------------
| 1 |   25 |      sshape1 |  0.25 | 2500 |1558350658782 |     253 |   253.0 | mscp51.txt |  5,3 |
| 2 |   25 |      sshape1 |  0.25 | 2500 |1558350664064 |     253 |   253.0 | mscp51.txt |  7,8 |
| 3 |   25 |      sshape1 |  0.25 | 2500 |1558350671814 |     253 |   253.0 | mscp51.txt |  7,3 |
| 4 |   25 |      sshape1 |  0.25 | 2500 |1558350679136 |     253 |   253.0 | mscp51.txt |  5,2 |
| 5 |   25 |      sshape1 |  0.25 | 2500 |1558350684366 |     253 |   253.0 | mscp51.txt |  4,4 |
| 6 |   25 |      sshape1 |  0.25 | 2500 |1558350688809 |     253 |   257.0 | mscp51.txt |  6,0 |
| 7 |   25 |      sshape1 |  0.25 | 2500 |1558350694852 |     253 |   253.0 | mscp51.txt |  6,4 |
| 8 |   25 |      sshape1 |  0.25 | 2500 |1558350701280 |     253 |   253.0 | mscp51.txt |  7,4 |
| 9 |   25 |      sshape1 |  0.25 | 2500 |1558350708674 |     253 |   253.0 | mscp51.txt |  6,3 |
|10 |   25 |      sshape1 |  0.25 | 2500 |1558350714941 |     253 |   253.0 | mscp51.txt |  4,9 |
|11 |   25 |      sshape1 |  0.25 | 2500 |1558350719829 |     253 |   254.0 | mscp51.txt |  7,8 |
|12 |   25 |      sshape1 |  0.25 | 2500 |1558350727603 |     253 |   253.0 | mscp51.txt |  4,2 |
|13 |   25 |      sshape1 |  0.25 | 2500 |1558350731762 |     253 |   253.0 | mscp51.txt |  5,8 |
|14 |   25 |      sshape1 |  0.25 | 2500 |1558350737517 |     253 |   253.0 | mscp51.txt |  5,0 |
|15 |   25 |      sshape1 |  0.25 | 2500 |1558350742545 |     253 |   253.0 | mscp51.txt |  4,8 |
|16 |   25 |      sshape1 |  0.25 | 2500 |1558350747351 |     253 |   253.0 | mscp51.txt |  4,3 |
|17 |   25 |      sshape1 |  0.25 | 2500 |1558350751641 |     253 |   256.0 | mscp51.txt |  8,0 |
|18 |   25 |      sshape1 |  0.25 | 2500 |1558350759666 |     253 |   253.0 | mscp51.txt |  5,1 |
|19 |   25 |      sshape1 |  0.25 | 2500 |1558350764742 |     253 |   257.0 | mscp51.txt |  4,4 |
|20 |   25 |      sshape1 |  0.25 | 2500 |1558350769104 |     253 |   254.0 | mscp51.txt |  4,5 |
|21 |   25 |      sshape1 |  0.25 | 2500 |1558350773646 |     253 |   253.0 | mscp51.txt |  4,9 |
|22 |   25 |      sshape1 |  0.25 | 2500 |1558350778551 |     253 |   254.0 | mscp51.txt |  4,4 |
|23 |   25 |      sshape1 |  0.25 | 2500 |1558350782921 |     253 |   253.0 | mscp51.txt |  4,7 |
|24 |   25 |      sshape1 |  0.25 | 2500 |1558350787666 |     253 |   256.0 | mscp51.txt |  4,5 |
|25 |   25 |      sshape1 |  0.25 | 2500 |1558350792127 |     253 |   253.0 | mscp51.txt |  4,7 |
|26 |   25 |      sshape1 |  0.25 | 2500 |1558350796834 |     253 |   253.0 | mscp51.txt |  7,9 |
|27 |   25 |      sshape1 |  0.25 | 2500 |1558350804688 |     253 |   253.0 | mscp51.txt |  6,5 |
|28 |   25 |      sshape1 |  0.25 | 2500 |1558350811149 |     253 |   253.0 | mscp51.txt |  5,6 |
|29 |   25 |      sshape1 |  0.25 | 2500 |1558350816703 |     253 |   258.0 | mscp51.txt |   13 |
|30 |   25 |      sshape1 |  0.25 | 2500 |1558350829277 |     253 |   253.0 | mscp51.txt |  6,7 |
|31 |   25 |      sshape1 |  0.25 | 2500 |1558350835979 |     253 |   253.0 | mscp51.txt |  5,3 |
| 1 |   25 |      sshape1 |  0.25 | 2500 |1558352311739 |     265 |   253.0 | mscp51.txt |  6,2 |
| 2 |   25 |      sshape1 |  0.25 | 2500 |1558352317891 |     265 |   253.0 | mscp51.txt |  6,7 |
| 3 |   25 |      sshape1 |  0.25 | 2500 |1558352324610 |     265 |   255.0 | mscp51.txt |  7,3 |
| 4 |   25 |      sshape1 |  0.25 | 2500 |1558352331865 |     265 |   253.0 | mscp51.txt |  4,8 |
| 5 |   25 |      sshape1 |  0.25 | 2500 |1558352336679 |     265 |   253.0 | mscp51.txt |  7,1 |
| 6 |   25 |      sshape1 |  0.25 | 2500 |1558352343743 |     265 |   253.0 | mscp51.txt |  7,5 |
| 7 |   25 |      sshape1 |  0.25 | 2500 |1558352351270 |     265 |   253.0 | mscp51.txt |  5,2 |
| 8 |   25 |      sshape1 |  0.25 | 2500 |1558352356435 |     265 |   253.0 | mscp51.txt |  5,0 |
| 9 |   25 |      sshape1 |  0.25 | 2500 |1558352361421 |     265 |   253.0 | mscp51.txt |  5,4 |
|10 |   25 |      sshape1 |  0.25 | 2500 |1558352366837 |     265 |   254.0 | mscp51.txt |  5,1 |
|11 |   25 |      sshape1 |  0.25 | 2500 |1558352371924 |     265 |   253.0 | mscp51.txt |  4,9 |
|12 |   25 |      sshape1 |  0.25 | 2500 |1558352376844 |     265 |   253.0 | mscp51.txt |  5,2 |
|13 |   25 |      sshape1 |  0.25 | 2500 |1558352382045 |     265 |   253.0 | mscp51.txt |  9,2 |
|14 |   25 |      sshape1 |  0.25 | 2500 |1558352391236 |     265 |   253.0 | mscp51.txt |  5,2 |
|15 |   25 |      sshape1 |  0.25 | 2500 |1558352396472 |     265 |   253.0 | mscp51.txt |  4,5 |
|16 |   25 |      sshape1 |  0.25 | 2500 |1558352400976 |     265 |   253.0 | mscp51.txt |  4,0 |
|17 |   25 |      sshape1 |  0.25 | 2500 |1558352404988 |     265 |   253.0 | mscp51.txt |  6,2 |
|18 |   25 |      sshape1 |  0.25 | 2500 |1558352411169 |     265 |   253.0 | mscp51.txt |  5,2 |
|19 |   25 |      sshape1 |  0.25 | 2500 |1558352416363 |     265 |   253.0 | mscp51.txt |  6,6 |
|20 |   25 |      sshape1 |  0.25 | 2500 |1558352422913 |     265 |   255.0 | mscp51.txt |  6,5 |
|21 |   25 |      sshape1 |  0.25 | 2500 |1558352429386 |     265 |   255.0 | mscp51.txt |  4,8 |
|22 |   25 |      sshape1 |  0.25 | 2500 |1558352434219 |     265 |   256.0 | mscp51.txt |  5,3 |
|23 |   25 |      sshape1 |  0.25 | 2500 |1558352439549 |     265 |   253.0 | mscp51.txt |  5,9 |
|24 |   25 |      sshape1 |  0.25 | 2500 |1558352445430 |     265 |   253.0 | mscp51.txt |  5,0 |
|25 |   25 |      sshape1 |  0.25 | 2500 |1558352450414 |     265 |   253.0 | mscp51.txt |  5,4 |
|26 |   25 |      sshape1 |  0.25 | 2500 |1558352455825 |     265 |   253.0 | mscp51.txt |  4,8 |
|27 |   25 |      sshape1 |  0.25 | 2500 |1558352460611 |     265 |   253.0 | mscp51.txt |  5,0 |
|28 |   25 |      sshape1 |  0.25 | 2500 |1558352465595 |     265 |   253.0 | mscp51.txt |  3,9 |
|29 |   25 |      sshape1 |  0.25 | 2500 |1558352469542 |     265 |   253.0 | mscp51.txt |  6,7 |
|30 |   25 |      sshape1 |  0.25 | 2500 |1558352476218 |     265 |   253.0 | mscp51.txt |  6,2 |
|31 |   25 |      sshape1 |  0.25 | 2500 |1558352482446 |     265 |   253.0 | mscp51.txt |  4,8 |
