| # | Nest | Binarizacion | %Desc |#Iter |      semilla | BestFit |  GotFit |  instancia | time |
-------------------------------------------------------------------------------------------------
| 1 |   25 |      sshape1 |  0.25 | 2500 |1558355196624 |     234 |   237.0 | mscpa4.txt |  7,8 |
| 2 |   25 |      sshape1 |  0.25 | 2500 |1558355204409 |     234 |   236.0 | mscpa4.txt |   17 |
| 3 |   25 |      sshape1 |  0.25 | 2500 |1558355221095 |     234 |   239.0 | mscpa4.txt |   13 |
| 4 |   25 |      sshape1 |  0.25 | 2500 |1558355234336 |     234 |   237.0 | mscpa4.txt |  9,1 |
| 5 |   25 |      sshape1 |  0.25 | 2500 |1558355243480 |     234 |   235.0 | mscpa4.txt |   18 |
| 6 |   25 |      sshape1 |  0.25 | 2500 |1558355261248 |     234 |   236.0 | mscpa4.txt |   17 |
| 7 |   25 |      sshape1 |  0.25 | 2500 |1558355278020 |     234 |   237.0 | mscpa4.txt |   12 |
| 8 |   25 |      sshape1 |  0.25 | 2500 |1558355289797 |     234 |   237.0 | mscpa4.txt |  8,1 |
| 9 |   25 |      sshape1 |  0.25 | 2500 |1558355297867 |     234 |   241.0 | mscpa4.txt |   13 |
|10 |   25 |      sshape1 |  0.25 | 2500 |1558355311052 |     234 |   236.0 | mscpa4.txt |   14 |
|11 |   25 |      sshape1 |  0.25 | 2500 |1558355325496 |     234 |   236.0 | mscpa4.txt |   14 |
|12 |   25 |      sshape1 |  0.25 | 2500 |1558355339803 |     234 |   238.0 | mscpa4.txt |   12 |
|13 |   25 |      sshape1 |  0.25 | 2500 |1558355352076 |     234 |   237.0 | mscpa4.txt |  7,8 |
|14 |   25 |      sshape1 |  0.25 | 2500 |1558355359894 |     234 |   236.0 | mscpa4.txt |   12 |
|15 |   25 |      sshape1 |  0.25 | 2500 |1558355372369 |     234 |   237.0 | mscpa4.txt |   14 |
|16 |   25 |      sshape1 |  0.25 | 2500 |1558355386068 |     234 |   237.0 | mscpa4.txt |   11 |
|17 |   25 |      sshape1 |  0.25 | 2500 |1558355397426 |     234 |   237.0 | mscpa4.txt |   11 |
|18 |   25 |      sshape1 |  0.25 | 2500 |1558355408561 |     234 |   236.0 | mscpa4.txt |   16 |
|19 |   25 |      sshape1 |  0.25 | 2500 |1558355424957 |     234 |   241.0 | mscpa4.txt |   14 |
|20 |   25 |      sshape1 |  0.25 | 2500 |1558355438556 |     234 |   242.0 | mscpa4.txt |   18 |
|21 |   25 |      sshape1 |  0.25 | 2500 |1558355456575 |     234 |   235.0 | mscpa4.txt |   12 |
|22 |   25 |      sshape1 |  0.25 | 2500 |1558355468135 |     234 |   235.0 | mscpa4.txt |   14 |
|23 |   25 |      sshape1 |  0.25 | 2500 |1558355481807 |     234 |   236.0 | mscpa4.txt |   15 |
|24 |   25 |      sshape1 |  0.25 | 2500 |1558355496683 |     234 |   243.0 | mscpa4.txt |   24 |
|25 |   25 |      sshape1 |  0.25 | 2500 |1558355520648 |     234 |   237.0 | mscpa4.txt |   12 |
|26 |   25 |      sshape1 |  0.25 | 2500 |1558355532300 |     234 |   237.0 | mscpa4.txt |   11 |
|27 |   25 |      sshape1 |  0.25 | 2500 |1558355542948 |     234 |   237.0 | mscpa4.txt |   14 |
|28 |   25 |      sshape1 |  0.25 | 2500 |1558355556935 |     234 |   237.0 | mscpa4.txt |   11 |
|29 |   25 |      sshape1 |  0.25 | 2500 |1558355568191 |     234 |   241.0 | mscpa4.txt |   12 |
|30 |   25 |      sshape1 |  0.25 | 2500 |1558355579694 |     234 |   237.0 | mscpa4.txt |  7,9 |
|31 |   25 |      sshape1 |  0.25 | 2500 |1558355587640 |     234 |   237.0 | mscpa4.txt |   11 |
