| # | Nest | Binarizacion | %Desc |#Iter |      semilla | BestFit |  GotFit |  instancia | time |
-------------------------------------------------------------------------------------------------
| 1 |   25 |      sshape1 |  0.25 | 2500 |1558362163260 |     243 |   246.0 | mscpc3.txt |   44 |
| 2 |   25 |      sshape1 |  0.25 | 2500 |1558362207678 |     243 |   248.0 | mscpc3.txt |   65 |
| 3 |   25 |      sshape1 |  0.25 | 2500 |1558362272188 |     243 |   244.0 | mscpc3.txt |   59 |
| 4 |   25 |      sshape1 |  0.25 | 2500 |1558362330995 |     243 |   245.0 | mscpc3.txt |   59 |
| 5 |   25 |      sshape1 |  0.25 | 2500 |1558362390410 |     243 |   248.0 | mscpc3.txt |   46 |
| 6 |   25 |      sshape1 |  0.25 | 2500 |1558362435945 |     243 |   250.0 | mscpc3.txt |   51 |
| 7 |   25 |      sshape1 |  0.25 | 2500 |1558362486519 |     243 |   245.0 | mscpc3.txt |   40 |
| 8 |   25 |      sshape1 |  0.25 | 2500 |1558362526958 |     243 |   248.0 | mscpc3.txt |   82 |
| 9 |   25 |      sshape1 |  0.25 | 2500 |1558362609235 |     243 |   245.0 | mscpc3.txt |   78 |
|10 |   25 |      sshape1 |  0.25 | 2500 |1558362687620 |     243 |   246.0 | mscpc3.txt |   44 |
|11 |   25 |      sshape1 |  0.25 | 2500 |1558362731718 |     243 |   245.0 | mscpc3.txt |   48 |
|12 |   25 |      sshape1 |  0.25 | 2500 |1558362779478 |     243 |   247.0 | mscpc3.txt |   60 |
|13 |   25 |      sshape1 |  0.25 | 2500 |1558362839378 |     243 |   247.0 | mscpc3.txt |   31 |
|14 |   25 |      sshape1 |  0.25 | 2500 |1558362870303 |     243 |   246.0 | mscpc3.txt |   68 |
|15 |   25 |      sshape1 |  0.25 | 2500 |1558362938653 |     243 |   247.0 | mscpc3.txt |   67 |
|16 |   25 |      sshape1 |  0.25 | 2500 |1558363005165 |     243 |   251.0 | mscpc3.txt |   65 |
|17 |   25 |      sshape1 |  0.25 | 2500 |1558363070605 |     243 |   246.0 | mscpc3.txt |   62 |
|18 |   25 |      sshape1 |  0.25 | 2500 |1558363132511 |     243 |   244.0 | mscpc3.txt |   62 |
|19 |   25 |      sshape1 |  0.25 | 2500 |1558363194267 |     243 |   245.0 | mscpc3.txt |   75 |
|20 |   25 |      sshape1 |  0.25 | 2500 |1558363268817 |     243 |   244.0 | mscpc3.txt |   83 |
|21 |   25 |      sshape1 |  0.25 | 2500 |1558363351449 |     243 |   247.0 | mscpc3.txt |   19 |
|22 |   25 |      sshape1 |  0.25 | 2500 |1558363370412 |     243 |   246.0 | mscpc3.txt |   53 |
|23 |   25 |      sshape1 |  0.25 | 2500 |1558363423356 |     243 |   248.0 | mscpc3.txt |   72 |
|24 |   25 |      sshape1 |  0.25 | 2500 |1558363495078 |     243 |   245.0 | mscpc3.txt |   72 |
|25 |   25 |      sshape1 |  0.25 | 2500 |1558363567187 |     243 |   248.0 | mscpc3.txt |   37 |
|26 |   25 |      sshape1 |  0.25 | 2500 |1558363604682 |     243 |   248.0 | mscpc3.txt |   37 |
|27 |   25 |      sshape1 |  0.25 | 2500 |1558363641929 |     243 |   244.0 | mscpc3.txt |   67 |
|28 |   25 |      sshape1 |  0.25 | 2500 |1558363708743 |     243 |   248.0 | mscpc3.txt |   24 |
|29 |   25 |      sshape1 |  0.25 | 2500 |1558363732858 |     243 |   245.0 | mscpc3.txt |   68 |
|30 |   25 |      sshape1 |  0.25 | 2500 |1558363801053 |     243 |   246.0 | mscpc3.txt |   52 |
|31 |   25 |      sshape1 |  0.25 | 2500 |1558363853316 |     243 |   244.0 | mscpc3.txt |   88 |
