| # | Nest | Binarizacion | %Desc |#Iter |      semilla | BestFit |  GotFit |  instancia | time |
-------------------------------------------------------------------------------------------------
| 1 |   25 |      sshape1 |  0.25 | 2500 |1558367214509 |      66 |    68.0 | mscpd2.txt |   66 |
| 2 |   25 |      sshape1 |  0.25 | 2500 |1558367280315 |      66 |    67.0 | mscpd2.txt |   53 |
| 3 |   25 |      sshape1 |  0.25 | 2500 |1558367333030 |      66 |    67.0 | mscpd2.txt |   39 |
| 4 |   25 |      sshape1 |  0.25 | 2500 |1558367372395 |      66 |    67.0 | mscpd2.txt |   30 |
| 5 |   25 |      sshape1 |  0.25 | 2500 |1558367402693 |      66 |    67.0 | mscpd2.txt |   71 |
| 6 |   25 |      sshape1 |  0.25 | 2500 |1558367473342 |      66 |    66.0 | mscpd2.txt |   49 |
| 7 |   25 |      sshape1 |  0.25 | 2500 |1558367522839 |      66 |    69.0 | mscpd2.txt |   28 |
| 8 |   25 |      sshape1 |  0.25 | 2500 |1558367551153 |      66 |    69.0 | mscpd2.txt |   61 |
| 9 |   25 |      sshape1 |  0.25 | 2500 |1558367611839 |      66 |    67.0 | mscpd2.txt |   33 |
|10 |   25 |      sshape1 |  0.25 | 2500 |1558367644493 |      66 |    67.0 | mscpd2.txt |   69 |
|11 |   25 |      sshape1 |  0.25 | 2500 |1558367713986 |      66 |    67.0 | mscpd2.txt |   62 |
|12 |   25 |      sshape1 |  0.25 | 2500 |1558367775496 |      66 |    68.0 | mscpd2.txt |   58 |
|13 |   25 |      sshape1 |  0.25 | 2500 |1558367833085 |      66 |    66.0 | mscpd2.txt |   62 |
|14 |   25 |      sshape1 |  0.25 | 2500 |1558367894750 |      66 |    68.0 | mscpd2.txt |   29 |
|15 |   25 |      sshape1 |  0.25 | 2500 |1558367923530 |      66 |    68.0 | mscpd2.txt |   62 |
|16 |   25 |      sshape1 |  0.25 | 2500 |1558367985895 |      66 |    67.0 | mscpd2.txt |   25 |
|17 |   25 |      sshape1 |  0.25 | 2500 |1558368011278 |      66 |    68.0 | mscpd2.txt |   52 |
|18 |   25 |      sshape1 |  0.25 | 2500 |1558368063053 |      66 |    67.0 | mscpd2.txt |   38 |
|19 |   25 |      sshape1 |  0.25 | 2500 |1558368101386 |      66 |    67.0 | mscpd2.txt |   52 |
|20 |   25 |      sshape1 |  0.25 | 2500 |1558368153257 |      66 |    68.0 | mscpd2.txt |   24 |
|21 |   25 |      sshape1 |  0.25 | 2500 |1558368177258 |      66 |    68.0 | mscpd2.txt |   54 |
|22 |   25 |      sshape1 |  0.25 | 2500 |1558368231380 |      66 |    68.0 | mscpd2.txt |   57 |
|23 |   25 |      sshape1 |  0.25 | 2500 |1558368288656 |      66 |    68.0 | mscpd2.txt |   45 |
|24 |   25 |      sshape1 |  0.25 | 2500 |1558368333812 |      66 |    66.0 | mscpd2.txt |   33 |
|25 |   25 |      sshape1 |  0.25 | 2500 |1558368366780 |      66 |    67.0 | mscpd2.txt |   74 |
|26 |   25 |      sshape1 |  0.25 | 2500 |1558368441018 |      66 |    67.0 | mscpd2.txt |   48 |
|27 |   25 |      sshape1 |  0.25 | 2500 |1558368488900 |      66 |    68.0 | mscpd2.txt |   66 |
|28 |   25 |      sshape1 |  0.25 | 2500 |1558368554556 |      66 |    69.0 | mscpd2.txt |   62 |
|29 |   25 |      sshape1 |  0.25 | 2500 |1558368616522 |      66 |    67.0 | mscpd2.txt |   40 |
|30 |   25 |      sshape1 |  0.25 | 2500 |1558368656066 |      66 |    67.0 | mscpd2.txt |   18 |
|31 |   25 |      sshape1 |  0.25 | 2500 |1558368674094 |      66 |    67.0 | mscpd2.txt |   60 |
