| # | Nest | Binarizacion | %Desc |#Iter |      semilla | BestFit |  GotFit |  instancia | time |
-------------------------------------------------------------------------------------------------
| 1 |   25 |      sshape1 |  0.25 | 2500 |1558376522153 |      27 |    29.0 |mscpnre3.txt |   68 |
| 2 |   25 |      sshape1 |  0.25 | 2500 |1558376589821 |      27 |    28.0 |mscpnre3.txt |   73 |
| 3 |   25 |      sshape1 |  0.25 | 2500 |1558376662816 |      27 |    29.0 |mscpnre3.txt |   92 |
| 4 |   25 |      sshape1 |  0.25 | 2500 |1558376754320 |      27 |    28.0 |mscpnre3.txt |   81 |
| 5 |   25 |      sshape1 |  0.25 | 2500 |1558376835377 |      27 |    28.0 |mscpnre3.txt |   54 |
| 6 |   25 |      sshape1 |  0.25 | 2500 |1558376889028 |      27 |    28.0 |mscpnre3.txt |   64 |
| 7 |   25 |      sshape1 |  0.25 | 2500 |1558376953390 |      27 |    30.0 |mscpnre3.txt |1,0e+02 |
| 8 |   25 |      sshape1 |  0.25 | 2500 |1558377057771 |      27 |    28.0 |mscpnre3.txt |   67 |
| 9 |   25 |      sshape1 |  0.25 | 2500 |1558377125075 |      27 |    28.0 |mscpnre3.txt |   42 |
|10 |   25 |      sshape1 |  0.25 | 2500 |1558377167537 |      27 |    28.0 |mscpnre3.txt |   88 |
|11 |   25 |      sshape1 |  0.25 | 2500 |1558377255615 |      27 |    29.0 |mscpnre3.txt |   86 |
|12 |   25 |      sshape1 |  0.25 | 2500 |1558377341708 |      27 |    28.0 |mscpnre3.txt |   44 |
|13 |   25 |      sshape1 |  0.25 | 2500 |1558377386119 |      27 |    28.0 |mscpnre3.txt |   39 |
|14 |   25 |      sshape1 |  0.25 | 2500 |1558377424983 |      27 |    29.0 |mscpnre3.txt |   63 |
|15 |   25 |      sshape1 |  0.25 | 2500 |1558377487634 |      27 |    29.0 |mscpnre3.txt |   79 |
|16 |   25 |      sshape1 |  0.25 | 2500 |1558377566791 |      27 |    28.0 |mscpnre3.txt |   95 |
|17 |   25 |      sshape1 |  0.25 | 2500 |1558377662026 |      27 |    28.0 |mscpnre3.txt |   41 |
|18 |   25 |      sshape1 |  0.25 | 2500 |1558377703520 |      27 |    30.0 |mscpnre3.txt |   68 |
|19 |   25 |      sshape1 |  0.25 | 2500 |1558377771699 |      27 |    28.0 |mscpnre3.txt |   27 |
|20 |   25 |      sshape1 |  0.25 | 2500 |1558377798735 |      27 |    29.0 |mscpnre3.txt |   82 |
|21 |   25 |      sshape1 |  0.25 | 2500 |1558377881124 |      27 |    29.0 |mscpnre3.txt |   76 |
|22 |   25 |      sshape1 |  0.25 | 2500 |1558377956906 |      27 |    28.0 |mscpnre3.txt |   89 |
|23 |   25 |      sshape1 |  0.25 | 2500 |1558378045575 |      27 |    28.0 |mscpnre3.txt |   34 |
|24 |   25 |      sshape1 |  0.25 | 2500 |1558378079907 |      27 |    29.0 |mscpnre3.txt |   89 |
|25 |   25 |      sshape1 |  0.25 | 2500 |1558378169266 |      27 |    28.0 |mscpnre3.txt |   98 |
|26 |   25 |      sshape1 |  0.25 | 2500 |1558378266936 |      27 |    28.0 |mscpnre3.txt |   58 |
|27 |   25 |      sshape1 |  0.25 | 2500 |1558378325197 |      27 |    29.0 |mscpnre3.txt |   91 |
|28 |   25 |      sshape1 |  0.25 | 2500 |1558378416400 |      27 |    29.0 |mscpnre3.txt |1,1e+02 |
|29 |   25 |      sshape1 |  0.25 | 2500 |1558378525490 |      27 |    29.0 |mscpnre3.txt |1,1e+02 |
|30 |   25 |      sshape1 |  0.25 | 2500 |1558378639068 |      27 |    28.0 |mscpnre3.txt |   41 |
|31 |   25 |      sshape1 |  0.25 | 2500 |1558378680180 |      27 |    29.0 |mscpnre3.txt |1,2e+02 |
