| # | Nest | Binarizacion | %Desc |#Iter |      semilla | BestFit |  GotFit |  instancia | time |
-------------------------------------------------------------------------------------------------
| 1 |   25 |      sshape1 |  0.25 | 2500 |1558387797517 |      14 |    15.0 |mscpnrf3.txt |1,2e+02 |
| 2 |   25 |      sshape1 |  0.25 | 2500 |1558387913145 |      14 |    15.0 |mscpnrf3.txt |   98 |
| 3 |   25 |      sshape1 |  0.25 | 2500 |1558388011353 |      14 |    15.0 |mscpnrf3.txt |   78 |
| 4 |   25 |      sshape1 |  0.25 | 2500 |1558388089762 |      14 |    16.0 |mscpnrf3.txt |   50 |
| 5 |   25 |      sshape1 |  0.25 | 2500 |1558388139369 |      14 |    15.0 |mscpnrf3.txt |1,2e+02 |
| 6 |   25 |      sshape1 |  0.25 | 2500 |1558388263269 |      14 |    15.0 |mscpnrf3.txt |   41 |
| 7 |   25 |      sshape1 |  0.25 | 2500 |1558388303826 |      14 |    16.0 |mscpnrf3.txt |1,2e+02 |
| 8 |   25 |      sshape1 |  0.25 | 2500 |1558388427337 |      14 |    16.0 |mscpnrf3.txt |1,4e+02 |
| 9 |   25 |      sshape1 |  0.25 | 2500 |1558388564685 |      14 |    15.0 |mscpnrf3.txt |1,2e+02 |
|10 |   25 |      sshape1 |  0.25 | 2500 |1558388688828 |      14 |    14.0 |mscpnrf3.txt |   58 |
|11 |   25 |      sshape1 |  0.25 | 2500 |1558388747315 |      14 |    15.0 |mscpnrf3.txt |1,3e+02 |
|12 |   25 |      sshape1 |  0.25 | 2500 |1558388877364 |      14 |    15.0 |mscpnrf3.txt |1,1e+02 |
|13 |   25 |      sshape1 |  0.25 | 2500 |1558388990708 |      14 |    15.0 |mscpnrf3.txt |   91 |
|14 |   25 |      sshape1 |  0.25 | 2500 |1558389081486 |      14 |    15.0 |mscpnrf3.txt |   52 |
|15 |   25 |      sshape1 |  0.25 | 2500 |1558389133939 |      14 |    95.0 |mscpnrf3.txt |  6,2 |
|16 |   25 |      sshape1 |  0.25 | 2500 |1558389140181 |      14 |    15.0 |mscpnrf3.txt |1,3e+02 |
|17 |   25 |      sshape1 |  0.25 | 2500 |1558389272324 |      14 |    15.0 |mscpnrf3.txt |   61 |
|18 |   25 |      sshape1 |  0.25 | 2500 |1558389333371 |      14 |    15.0 |mscpnrf3.txt |   28 |
|19 |   25 |      sshape1 |  0.25 | 2500 |1558389361258 |      14 |    15.0 |mscpnrf3.txt |1,2e+02 |
|20 |   25 |      sshape1 |  0.25 | 2500 |1558389483073 |      14 |    15.0 |mscpnrf3.txt |   65 |
|21 |   25 |      sshape1 |  0.25 | 2500 |1558389548272 |      14 |    16.0 |mscpnrf3.txt |   98 |
|22 |   25 |      sshape1 |  0.25 | 2500 |1558389645988 |      14 |    16.0 |mscpnrf3.txt |   82 |
|23 |   25 |      sshape1 |  0.25 | 2500 |1558389728295 |      14 |    16.0 |mscpnrf3.txt |1,3e+02 |
|24 |   25 |      sshape1 |  0.25 | 2500 |1558389856136 |      14 |    16.0 |mscpnrf3.txt |1,1e+02 |
|25 |   25 |      sshape1 |  0.25 | 2500 |1558389967337 |      14 |    15.0 |mscpnrf3.txt |1,2e+02 |
|26 |   25 |      sshape1 |  0.25 | 2500 |1558390091722 |      14 |    15.0 |mscpnrf3.txt |1,0e+02 |
|27 |   25 |      sshape1 |  0.25 | 2500 |1558390192667 |      14 |    16.0 |mscpnrf3.txt |   90 |
|28 |   25 |      sshape1 |  0.25 | 2500 |1558390282494 |      14 |    15.0 |mscpnrf3.txt |   65 |
|29 |   25 |      sshape1 |  0.25 | 2500 |1558390347336 |      14 |    16.0 |mscpnrf3.txt |1,0e+02 |
|30 |   25 |      sshape1 |  0.25 | 2500 |1558390450590 |      14 |    15.0 |mscpnrf3.txt |1,3e+02 |
|31 |   25 |      sshape1 |  0.25 | 2500 |1558390576946 |      14 |    14.0 |mscpnrf3.txt |   75 |
