| # | Nest | Binarizacion | %Desc |#Iter |      semilla | BestFit |  GotFit |  instancia | time |
-------------------------------------------------------------------------------------------------
| 1 |   25 |      sshape1 |  0.25 | 2500 |1558476601306 |      55 |  2348.0 |mscpnrh5.txt |   24 |
| 2 |   25 |      sshape1 |  0.25 | 2500 |1558476625285 |      55 |  2437.0 |mscpnrh5.txt |   24 |
| 3 |   25 |      sshape1 |  0.25 | 2500 |1558476649440 |      55 |  2064.0 |mscpnrh5.txt |   25 |
| 4 |   25 |      sshape1 |  0.25 | 2500 |1558476674347 |      55 |  2569.0 |mscpnrh5.txt |   24 |
| 5 |   25 |      sshape1 |  0.25 | 2500 |1558476698465 |      55 |  1616.0 |mscpnrh5.txt |   23 |
| 6 |   25 |      sshape1 |  0.25 | 2500 |1558476721960 |      55 |  2824.0 |mscpnrh5.txt |   24 |
| 7 |   25 |      sshape1 |  0.25 | 2500 |1558476745769 |      55 |  2351.0 |mscpnrh5.txt |   23 |
| 8 |   25 |      sshape1 |  0.25 | 2500 |1558476769154 |      55 |  2015.0 |mscpnrh5.txt |   23 |
| 9 |   25 |      sshape1 |  0.25 | 2500 |1558476792471 |      55 |  2138.0 |mscpnrh5.txt |   24 |
|10 |   25 |      sshape1 |  0.25 | 2500 |1558476816397 |      55 |  2665.0 |mscpnrh5.txt |   23 |
|11 |   25 |      sshape1 |  0.25 | 2500 |1558476839474 |      55 |  2771.0 |mscpnrh5.txt |   24 |
|12 |   25 |      sshape1 |  0.25 | 2500 |1558476863181 |      55 |  2720.0 |mscpnrh5.txt |   23 |
|13 |   25 |      sshape1 |  0.25 | 2500 |1558476886081 |      55 |  2383.0 |mscpnrh5.txt |   24 |
|14 |   25 |      sshape1 |  0.25 | 2500 |1558476909627 |      55 |  2343.0 |mscpnrh5.txt |   24 |
|15 |   25 |      sshape1 |  0.25 | 2500 |1558476933829 |      55 |  2422.0 |mscpnrh5.txt |   23 |
|16 |   25 |      sshape1 |  0.25 | 2500 |1558476956900 |      55 |  1906.0 |mscpnrh5.txt |   23 |
|17 |   25 |      sshape1 |  0.25 | 2500 |1558476980226 |      55 |  2424.0 |mscpnrh5.txt |   23 |
|18 |   25 |      sshape1 |  0.25 | 2500 |1558477003674 |      55 |  2117.0 |mscpnrh5.txt |   24 |
|19 |   25 |      sshape1 |  0.25 | 2500 |1558477027359 |      55 |  2314.0 |mscpnrh5.txt |   24 |
|20 |   25 |      sshape1 |  0.25 | 2500 |1558477051190 |      55 |  2244.0 |mscpnrh5.txt |   23 |
|21 |   25 |      sshape1 |  0.25 | 2500 |1558477074346 |      55 |  2475.0 |mscpnrh5.txt |   24 |
|22 |   25 |      sshape1 |  0.25 | 2500 |1558477097926 |      55 |  2539.0 |mscpnrh5.txt |   24 |
|23 |   25 |      sshape1 |  0.25 | 2500 |1558477121570 |      55 |  2675.0 |mscpnrh5.txt |   24 |
|24 |   25 |      sshape1 |  0.25 | 2500 |1558477145295 |      55 |  2639.0 |mscpnrh5.txt |   23 |
|25 |   25 |      sshape1 |  0.25 | 2500 |1558477168740 |      55 |  2320.0 |mscpnrh5.txt |   24 |
|26 |   25 |      sshape1 |  0.25 | 2500 |1558477192948 |      55 |  2006.0 |mscpnrh5.txt |   24 |
|27 |   25 |      sshape1 |  0.25 | 2500 |1558477217357 |      55 |  2201.0 |mscpnrh5.txt |   24 |
|28 |   25 |      sshape1 |  0.25 | 2500 |1558477241283 |      55 |  2397.0 |mscpnrh5.txt |   25 |
|29 |   25 |      sshape1 |  0.25 | 2500 |1558477266215 |      55 |  2711.0 |mscpnrh5.txt |   25 |
|30 |   25 |      sshape1 |  0.25 | 2500 |1558477290742 |      55 |  2804.0 |mscpnrh5.txt |   24 |
|31 |   25 |      sshape1 |  0.25 | 2500 |1558477314961 |      55 |  2424.0 |mscpnrh5.txt |   25 |
