| # | Nest | Binarizacion | %Desc |#Iter |      semilla | BestFit |  GotFit |  instancia | time |
-------------------------------------------------------------------------------------------------
| 1 |   25 |      vshape3 |  0.25 | 2500 |1558325617817 |     429 |   432.0 | mscp41.txt |   33 |
| 2 |   25 |      vshape3 |  0.25 | 2500 |1558325650445 |     429 |   438.0 | mscp41.txt |   33 |
| 3 |   25 |      vshape3 |  0.25 | 2500 |1558325683255 |     429 |   440.0 | mscp41.txt |   33 |
| 4 |   25 |      vshape3 |  0.25 | 2500 |1558325716174 |     429 |   436.0 | mscp41.txt |   33 |
| 5 |   25 |      vshape3 |  0.25 | 2500 |1558325748907 |     429 |   440.0 | mscp41.txt |   33 |
| 6 |   25 |      vshape3 |  0.25 | 2500 |1558325781661 |     429 |   451.0 | mscp41.txt |   33 |
| 7 |   25 |      vshape3 |  0.25 | 2500 |1558325814482 |     429 |   439.0 | mscp41.txt |   33 |
| 8 |   25 |      vshape3 |  0.25 | 2500 |1558325847217 |     429 |   438.0 | mscp41.txt |   33 |
| 9 |   25 |      vshape3 |  0.25 | 2500 |1558325880164 |     429 |   438.0 | mscp41.txt |   33 |
|10 |   25 |      vshape3 |  0.25 | 2500 |1558325912951 |     429 |   437.0 | mscp41.txt |   33 |
|11 |   25 |      vshape3 |  0.25 | 2500 |1558325945888 |     429 |   439.0 | mscp41.txt |   33 |
|12 |   25 |      vshape3 |  0.25 | 2500 |1558325978758 |     429 |   439.0 | mscp41.txt |   33 |
|13 |   25 |      vshape3 |  0.25 | 2500 |1558326011717 |     429 |   438.0 | mscp41.txt |   33 |
|14 |   25 |      vshape3 |  0.25 | 2500 |1558326044551 |     429 |   436.0 | mscp41.txt |   33 |
|15 |   25 |      vshape3 |  0.25 | 2500 |1558326077403 |     429 |   438.0 | mscp41.txt |   33 |
|16 |   25 |      vshape3 |  0.25 | 2500 |1558326110290 |     429 |   444.0 | mscp41.txt |   33 |
|17 |   25 |      vshape3 |  0.25 | 2500 |1558326143314 |     429 |   432.0 | mscp41.txt |   33 |
|18 |   25 |      vshape3 |  0.25 | 2500 |1558326176265 |     429 |   435.0 | mscp41.txt |   33 |
|19 |   25 |      vshape3 |  0.25 | 2500 |1558326209014 |     429 |   438.0 | mscp41.txt |   33 |
|20 |   25 |      vshape3 |  0.25 | 2500 |1558326241963 |     429 |   433.0 | mscp41.txt |   33 |
|21 |   25 |      vshape3 |  0.25 | 2500 |1558326274884 |     429 |   437.0 | mscp41.txt |   33 |
|22 |   25 |      vshape3 |  0.25 | 2500 |1558326307645 |     429 |   440.0 | mscp41.txt |   33 |
|23 |   25 |      vshape3 |  0.25 | 2500 |1558326340443 |     429 |   438.0 | mscp41.txt |   33 |
|24 |   25 |      vshape3 |  0.25 | 2500 |1558326373307 |     429 |   439.0 | mscp41.txt |   33 |
|25 |   25 |      vshape3 |  0.25 | 2500 |1558326406355 |     429 |   438.0 | mscp41.txt |   33 |
|26 |   25 |      vshape3 |  0.25 | 2500 |1558326439251 |     429 |   440.0 | mscp41.txt |   33 |
|27 |   25 |      vshape3 |  0.25 | 2500 |1558326472202 |     429 |   437.0 | mscp41.txt |   33 |
|28 |   25 |      vshape3 |  0.25 | 2500 |1558326504784 |     429 |   434.0 | mscp41.txt |   33 |
|29 |   25 |      vshape3 |  0.25 | 2500 |1558326537844 |     429 |   435.0 | mscp41.txt |   33 |
|30 |   25 |      vshape3 |  0.25 | 2500 |1558326570775 |     429 |   440.0 | mscp41.txt |   33 |
|31 |   25 |      vshape3 |  0.25 | 2500 |1558326603556 |     429 |   439.0 | mscp41.txt |   33 |
