| # | Nest |     Clusters |        Pesos | %Desc |#Iter |      semilla | BestFit |GottedFit |        RDP |  instancia | time |
-------------------------------------------------------------------------------------------------
| 1 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560960163450 |     429 |   431.0 |    0,47 | mscp41.txt |  3,0 |
| 2 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560960166427 |     429 |   431.0 |    0,47 | mscp41.txt |  3,5 |
| 3 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560960169939 |     429 |   435.0 |    1,40 | mscp41.txt |  2,8 |
| 4 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560960172785 |     429 |   430.0 |    0,23 | mscp41.txt |  3,0 |
| 5 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560960175749 |     429 |   429.0 |    0,00 | mscp41.txt |  3,4 |
| 6 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560960179106 |     429 |   430.0 |    0,23 | mscp41.txt |  2,4 |
| 7 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560960181545 |     429 |   432.0 |    0,70 | mscp41.txt |  2,5 |
| 8 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560960184083 |     429 |   432.0 |    0,70 | mscp41.txt |  3,4 |
| 9 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560960187448 |     429 |   433.0 |    0,93 | mscp41.txt |  2,4 |
|10 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560960189895 |     429 |   433.0 |    0,93 | mscp41.txt |  3,8 |
|11 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560960193707 |     429 |   432.0 |    0,70 | mscp41.txt |  2,7 |
|12 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560960196382 |     429 |   432.0 |    0,70 | mscp41.txt |  2,4 |
|13 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560960198826 |     429 |   432.0 |    0,70 | mscp41.txt |  2,8 |
|14 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560960201657 |     429 |   433.0 |    0,93 | mscp41.txt |  2,2 |
|15 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560960203832 |     429 |   433.0 |    0,93 | mscp41.txt |  2,2 |
|16 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560960206070 |     429 |   432.0 |    0,70 | mscp41.txt |  2,4 |
|17 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560960208490 |     429 |   432.0 |    0,70 | mscp41.txt |  3,1 |
|18 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560960211578 |     429 |   431.0 |    0,47 | mscp41.txt |  2,5 |
|19 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560960214043 |     429 |   434.0 |    1,17 | mscp41.txt |  2,8 |
|20 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560960216820 |     429 |   434.0 |    1,17 | mscp41.txt |  3,4 |
|21 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560960220182 |     429 |   431.0 |    0,47 | mscp41.txt |  3,3 |
|22 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560960223507 |     429 |   432.0 |    0,70 | mscp41.txt |  2,5 |
|23 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560960226040 |     429 |   432.0 |    0,70 | mscp41.txt |  2,6 |
|24 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560960228618 |     429 |   433.0 |    0,93 | mscp41.txt |  2,4 |
|25 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560960230994 |     429 |   432.0 |    0,70 | mscp41.txt |  3,1 |
|26 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560960234094 |     429 |   430.0 |    0,23 | mscp41.txt |  2,8 |
|27 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560960236887 |     429 |   435.0 |    1,40 | mscp41.txt |  3,1 |
|28 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560960239995 |     429 |   430.0 |    0,23 | mscp41.txt |  4,3 |
|29 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560960244276 |     429 |   430.0 |    0,23 | mscp41.txt |  3,5 |
