| # | Nest |     Clusters |        Pesos | %Desc |#Iter |      semilla | BestFit |GottedFit |        RDP |  instancia | time |
-------------------------------------------------------------------------------------------------
| 1 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560962526086 |     131 |   132.0 |    0,76 | mscp64.txt |  3,3 |
| 2 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560962529354 |     131 |   135.0 |    3,05 | mscp64.txt |  2,2 |
| 3 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560962531539 |     131 |   134.0 |    2,29 | mscp64.txt |  2,2 |
| 4 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560962533739 |     131 |   136.0 |    3,82 | mscp64.txt |  2,0 |
| 5 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560962535701 |     131 |   135.0 |    3,05 | mscp64.txt |  2,6 |
| 6 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560962538269 |     131 |   133.0 |    1,53 | mscp64.txt |  2,2 |
| 7 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560962540499 |     131 |   134.0 |    2,29 | mscp64.txt |  2,0 |
| 8 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560962542512 |     131 |   132.0 |    0,76 | mscp64.txt |  2,1 |
| 9 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560962544602 |     131 |   134.0 |    2,29 | mscp64.txt |  2,0 |
|10 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560962546594 |     131 |   131.0 |    0,00 | mscp64.txt |  2,3 |
|11 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560962548883 |     131 |   132.0 |    0,76 | mscp64.txt |  1,9 |
|12 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560962550772 |     131 |   132.0 |    0,76 | mscp64.txt |  2,1 |
|13 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560962552842 |     131 |   133.0 |    1,53 | mscp64.txt |  2,5 |
|14 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560962555383 |     131 |   136.0 |    3,82 | mscp64.txt |  2,0 |
|15 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560962557336 |     131 |   132.0 |    0,76 | mscp64.txt |  2,1 |
|16 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560962559389 |     131 |   132.0 |    0,76 | mscp64.txt |  1,9 |
|17 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560962561294 |     131 |   135.0 |    3,05 | mscp64.txt |  2,2 |
|18 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560962563503 |     131 |   133.0 |    1,53 | mscp64.txt |  2,3 |
|19 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560962565832 |     131 |   134.0 |    2,29 | mscp64.txt |  1,9 |
|20 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560962567776 |     131 |   133.0 |    1,53 | mscp64.txt |  2,1 |
|21 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560962569906 |     131 |   132.0 |    0,76 | mscp64.txt |  2,1 |
|22 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560962572045 |     131 |   133.0 |    1,53 | mscp64.txt |  2,0 |
|23 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560962574023 |     131 |   133.0 |    1,53 | mscp64.txt |  2,1 |
|24 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560962576122 |     131 |   134.0 |    2,29 | mscp64.txt |  2,2 |
|25 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560962578326 |     131 |   132.0 |    0,76 | mscp64.txt |  2,2 |
|26 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560962580543 |     131 |   135.0 |    3,05 | mscp64.txt |  3,1 |
|27 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560962583664 |     131 |   131.0 |    0,00 | mscp64.txt |  2,7 |
|28 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560962586396 |     131 |   131.0 |    0,00 | mscp64.txt |  2,3 |
|29 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560962588668 |     131 |   134.0 |    2,29 | mscp64.txt |  2,8 |
|30 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560962591508 |     131 |   131.0 |    0,00 | mscp64.txt |  2,6 |
|31 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560962594123 |     131 |   134.0 |    2,29 | mscp64.txt |  2,3 |
