| # | Nest |     Clusters |        Pesos | %Desc |#Iter |      semilla | BestFit |GottedFit |        RDP |  instancia | time |
-------------------------------------------------------------------------------------------------
| 1 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560963359769 |     234 |   235.0 |    0,43 | mscpa4.txt |  7,9 |
| 2 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560963367624 |     234 |   237.0 |    1,28 | mscpa4.txt |  5,0 |
| 3 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560963372594 |     234 |   237.0 |    1,28 | mscpa4.txt |  5,4 |
| 4 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560963377992 |     234 |   240.0 |    2,56 | mscpa4.txt |  5,1 |
| 5 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560963383119 |     234 |   244.0 |    4,27 | mscpa4.txt |  9,4 |
| 6 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560963392507 |     234 |   236.0 |    0,85 | mscpa4.txt |  5,3 |
| 7 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560963397834 |     234 |   237.0 |    1,28 | mscpa4.txt |  7,0 |
| 8 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560963404837 |     234 |   243.0 |    3,85 | mscpa4.txt |  5,7 |
| 9 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560963410505 |     234 |   244.0 |    4,27 | mscpa4.txt |  8,4 |
|10 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560963418916 |     234 |   244.0 |    4,27 | mscpa4.txt |  4,9 |
|11 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560963423830 |     234 |   238.0 |    1,71 | mscpa4.txt |  5,7 |
|12 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560963429535 |     234 |   237.0 |    1,28 | mscpa4.txt |  5,8 |
|13 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560963435293 |     234 |   237.0 |    1,28 | mscpa4.txt |  6,1 |
|14 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560963441382 |     234 |   237.0 |    1,28 | mscpa4.txt |  5,8 |
|15 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560963447160 |     234 |   236.0 |    0,85 | mscpa4.txt |  5,1 |
|16 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560963452255 |     234 |   246.0 |    5,13 | mscpa4.txt |  6,2 |
|17 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560963458451 |     234 |   244.0 |    4,27 | mscpa4.txt |  5,4 |
|18 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560963463841 |     234 |   235.0 |    0,43 | mscpa4.txt |  6,4 |
|19 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560963470231 |     234 |   241.0 |    2,99 | mscpa4.txt |  5,4 |
|20 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560963475650 |     234 |   244.0 |    4,27 | mscpa4.txt |  5,3 |
|21 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560963480979 |     234 |   244.0 |    4,27 | mscpa4.txt |  6,1 |
|22 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560963487071 |     234 |   240.0 |    2,56 | mscpa4.txt |  4,9 |
|23 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560963491993 |     234 |   239.0 |    2,14 | mscpa4.txt |  5,2 |
|24 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560963497232 |     234 |   240.0 |    2,56 | mscpa4.txt |  5,5 |
|25 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560963502766 |     234 |   244.0 |    4,27 | mscpa4.txt |  5,8 |
|26 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560963508558 |     234 |   237.0 |    1,28 | mscpa4.txt |  5,1 |
|27 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560963513673 |     234 |   237.0 |    1,28 | mscpa4.txt |  5,9 |
|28 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560963519598 |     234 |   237.0 |    1,28 | mscpa4.txt |  6,4 |
|29 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560963526025 |     234 |   241.0 |    2,99 | mscpa4.txt |  7,0 |
|30 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560963532997 |     234 |   236.0 |    0,85 | mscpa4.txt |  5,7 |
|31 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560963538675 |     234 |   244.0 |    4,27 | mscpa4.txt |  5,4 |
