| # | Nest |     Clusters |        Pesos | %Desc |#Iter |      semilla | BestFit |GottedFit |        RDP |  instancia | time |
-------------------------------------------------------------------------------------------------
| 1 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560963544065 |     236 |   236.0 |    0,00 | mscpa5.txt |  5,6 |
| 2 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560963549695 |     236 |   239.0 |    1,27 | mscpa5.txt |   13 |
| 3 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560963563092 |     236 |   238.0 |    0,85 | mscpa5.txt |  9,0 |
| 4 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560963572093 |     236 |   239.0 |    1,27 | mscpa5.txt |  6,1 |
| 5 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560963578182 |     236 |   238.0 |    0,85 | mscpa5.txt |  6,3 |
| 6 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560963584516 |     236 |   237.0 |    0,42 | mscpa5.txt |  5,6 |
| 7 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560963590114 |     236 |   239.0 |    1,27 | mscpa5.txt |   10 |
| 8 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560963600519 |     236 |   240.0 |    1,69 | mscpa5.txt |  8,0 |
| 9 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560963608490 |     236 |   237.0 |    0,42 | mscpa5.txt |  8,2 |
|10 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560963616667 |     236 |   237.0 |    0,42 | mscpa5.txt |  6,3 |
|11 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560963622986 |     236 |   238.0 |    0,85 | mscpa5.txt |   11 |
|12 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560963633972 |     236 |   240.0 |    1,69 | mscpa5.txt |  5,9 |
|13 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560963639873 |     236 |   238.0 |    0,85 | mscpa5.txt |   10 |
|14 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560963649900 |     236 |   238.0 |    0,85 | mscpa5.txt |  5,1 |
|15 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560963655023 |     236 |   240.0 |    1,69 | mscpa5.txt |  5,6 |
|16 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560963660653 |     236 |   239.0 |    1,27 | mscpa5.txt |  5,4 |
|17 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560963666054 |     236 |   239.0 |    1,27 | mscpa5.txt |  7,1 |
|18 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560963673172 |     236 |   240.0 |    1,69 | mscpa5.txt |  6,3 |
|19 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560963679430 |     236 |   239.0 |    1,27 | mscpa5.txt |  9,3 |
|20 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560963688732 |     236 |   240.0 |    1,69 | mscpa5.txt |  5,5 |
|21 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560963694210 |     236 |   239.0 |    1,27 | mscpa5.txt |  5,0 |
|22 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560963699257 |     236 |   237.0 |    0,42 | mscpa5.txt |   12 |
|23 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560963710855 |     236 |   238.0 |    0,85 | mscpa5.txt |  5,2 |
|24 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560963716016 |     236 |   239.0 |    1,27 | mscpa5.txt |  5,5 |
|25 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560963721533 |     236 |   239.0 |    1,27 | mscpa5.txt |  4,8 |
|26 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560963726367 |     236 |   238.0 |    0,85 | mscpa5.txt |  8,4 |
|27 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560963734807 |     236 |   240.0 |    1,69 | mscpa5.txt |  4,8 |
|28 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560963739653 |     236 |   240.0 |    1,69 | mscpa5.txt |  5,1 |
|29 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560963744774 |     236 |   239.0 |    1,27 | mscpa5.txt |  6,6 |
|30 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560963751400 |     236 |   239.0 |    1,27 | mscpa5.txt |  6,8 |
|31 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560963758212 |     236 |   239.0 |    1,27 | mscpa5.txt |  6,2 |
