| # | Nest |     Clusters |        Pesos | %Desc |#Iter |      semilla | BestFit |GottedFit |        RDP |  instancia | time |
-------------------------------------------------------------------------------------------------
| 1 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560963764415 |      69 |  1732.0 | 2410,15 | mscpb1.txt |   10 |
| 2 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560963774420 |      69 |  1780.0 | 2479,71 | mscpb1.txt |  9,8 |
| 3 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560963784226 |      69 |   129.0 |   86,96 | mscpb1.txt |  6,3 |
| 4 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560963790492 |      69 |  1660.0 | 2305,80 | mscpb1.txt |  9,9 |
| 5 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560963800439 |      69 |  1649.0 | 2289,85 | mscpb1.txt |   10 |
| 6 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560963810411 |      69 |  1786.0 | 2488,41 | mscpb1.txt |  9,8 |
| 7 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560963820230 |      69 |  1756.0 | 2444,93 | mscpb1.txt |  9,9 |
| 8 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560963830107 |      69 |  1727.0 | 2402,90 | mscpb1.txt |  9,8 |
| 9 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560963839873 |      69 |  1762.0 | 2453,62 | mscpb1.txt |   10 |
|10 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560963849832 |      69 |  1826.0 | 2546,38 | mscpb1.txt |   10 |
|11 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560963859809 |      69 |  1845.0 | 2573,91 | mscpb1.txt |  9,9 |
|12 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560963869734 |      69 |  1722.0 | 2395,65 | mscpb1.txt |   10 |
|13 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560963879685 |      69 |  1709.0 | 2376,81 | mscpb1.txt |  9,9 |
|14 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560963889598 |      69 |  1792.0 | 2497,10 | mscpb1.txt |  9,9 |
|15 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560963899495 |      69 |   116.0 |   68,12 | mscpb1.txt |  6,2 |
|16 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560963905707 |      69 |  1742.0 | 2424,64 | mscpb1.txt |  9,9 |
|17 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560963915653 |      69 |  1665.0 | 2313,04 | mscpb1.txt |   10 |
|18 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560963925664 |      69 |  1855.0 | 2588,41 | mscpb1.txt |  9,8 |
|19 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560963935492 |      69 |  1609.0 | 2231,88 | mscpb1.txt |   10 |
|20 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560963945450 |      69 |  1818.0 | 2534,78 | mscpb1.txt |  9,9 |
|21 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560963955366 |      69 |  1746.0 | 2430,43 | mscpb1.txt |   10 |
|22 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560963965475 |      69 |  1835.0 | 2559,42 | mscpb1.txt |   10 |
|23 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560963975525 |      69 |  1734.0 | 2413,04 | mscpb1.txt |   10 |
|24 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560963985565 |      69 |  1777.0 | 2475,36 | mscpb1.txt |   10 |
|25 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560963995635 |      69 |   129.0 |   86,96 | mscpb1.txt |  6,6 |
|26 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560964002261 |      69 |  1790.0 | 2494,20 | mscpb1.txt |  9,9 |
|27 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560964012193 |      69 |  1601.0 | 2220,29 | mscpb1.txt |   10 |
|28 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560964022183 |      69 |   119.0 |   72,46 | mscpb1.txt |  8,4 |
|29 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560964030591 |      69 |  1742.0 | 2424,64 | mscpb1.txt |  9,9 |
|30 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560964040491 |      69 |  1725.0 | 2400,00 | mscpb1.txt |  9,9 |
|31 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560964050347 |      69 |   136.0 |   97,10 | mscpb1.txt |  7,9 |
