| # | Nest |     Clusters |        Pesos | %Desc |#Iter |      semilla | BestFit |GottedFit |        RDP |  instancia | time |
-------------------------------------------------------------------------------------------------
| 1 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560966472557 |     219 |   229.0 |    4,57 | mscpc4.txt |  8,5 |
| 2 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560966481076 |     219 |   231.0 |    5,48 | mscpc4.txt |   11 |
| 3 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560966491909 |     219 |   228.0 |    4,11 | mscpc4.txt |  9,9 |
| 4 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560966501767 |     219 |   224.0 |    2,28 | mscpc4.txt |  9,8 |
| 5 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560966511560 |     219 |   225.0 |    2,74 | mscpc4.txt |   11 |
| 6 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560966522908 |     219 |   227.0 |    3,65 | mscpc4.txt |   15 |
| 7 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560966537742 |     219 |   232.0 |    5,94 | mscpc4.txt |   12 |
| 8 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560966549906 |     219 |   223.0 |    1,83 | mscpc4.txt |   13 |
| 9 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560966563124 |     219 |   227.0 |    3,65 | mscpc4.txt |   16 |
|10 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560966578913 |     219 |   229.0 |    4,57 | mscpc4.txt |   13 |
|11 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560966591751 |     219 |   229.0 |    4,57 | mscpc4.txt |   13 |
|12 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560966604800 |     219 |   222.0 |    1,37 | mscpc4.txt |  9,5 |
|13 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560966614269 |     219 |   229.0 |    4,57 | mscpc4.txt |   11 |
|14 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560966624958 |     219 |   225.0 |    2,74 | mscpc4.txt |   13 |
|15 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560966638134 |     219 |   226.0 |    3,20 | mscpc4.txt |   12 |
|16 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560966649700 |     219 |   233.0 |    6,39 | mscpc4.txt |   10 |
|17 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560966659881 |     219 |   222.0 |    1,37 | mscpc4.txt |   12 |
|18 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560966672171 |     219 |   228.0 |    4,11 | mscpc4.txt |  9,7 |
|19 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560966681892 |     219 |   232.0 |    5,94 | mscpc4.txt |   11 |
|20 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560966692798 |     219 |   233.0 |    6,39 | mscpc4.txt |  9,6 |
|21 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560966702359 |     219 |   227.0 |    3,65 | mscpc4.txt |  8,0 |
|22 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560966710375 |     219 |   221.0 |    0,91 | mscpc4.txt |  9,0 |
|23 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560966719418 |     219 |   224.0 |    2,28 | mscpc4.txt |   18 |
|24 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560966737673 |     219 |   227.0 |    3,65 | mscpc4.txt |  9,6 |
|25 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560966747307 |     219 |   227.0 |    3,65 | mscpc4.txt |  8,7 |
|26 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560966756007 |     219 |   223.0 |    1,83 | mscpc4.txt |   18 |
|27 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560966774352 |     219 |   229.0 |    4,57 | mscpc4.txt |   15 |
|28 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560966789427 |     219 |   223.0 |    1,83 | mscpc4.txt |  9,4 |
|29 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560966798820 |     219 |   226.0 |    3,20 | mscpc4.txt |   13 |
|30 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560966811789 |     219 |   223.0 |    1,83 | mscpc4.txt |   10 |
|31 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560966822196 |     219 |   228.0 |    4,11 | mscpc4.txt |   12 |
