| # | Nest |     Clusters |        Pesos | %Desc |#Iter |      semilla | BestFit |GottedFit |        RDP |  instancia | time |
-------------------------------------------------------------------------------------------------
| 1 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560969046696 |      61 |  2599.0 | 4160,66 | mscpd5.txt |   14 |
| 2 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560969060465 |      61 |  2582.0 | 4132,79 | mscpd5.txt |   14 |
| 3 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560969074432 |      61 |  2618.0 | 4191,80 | mscpd5.txt |   14 |
| 4 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560969088443 |      61 |  2494.0 | 3988,52 | mscpd5.txt |   14 |
| 5 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560969102372 |      61 |  2523.0 | 4036,07 | mscpd5.txt |   14 |
| 6 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560969116217 |      61 |  2584.0 | 4136,07 | mscpd5.txt |   14 |
| 7 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560969130120 |      61 |  2588.0 | 4142,62 | mscpd5.txt |   14 |
| 8 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560969143986 |      61 |  2581.0 | 4131,15 | mscpd5.txt |   14 |
| 9 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560969157853 |      61 |  2621.0 | 4196,72 | mscpd5.txt |   14 |
|10 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560969171618 |      61 |  2525.0 | 4039,34 | mscpd5.txt |   15 |
|11 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560969186170 |      61 |  2484.0 | 3972,13 | mscpd5.txt |   14 |
|12 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560969200275 |      61 |  2539.0 | 4062,30 | mscpd5.txt |   14 |
|13 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560969214307 |      61 |  2507.0 | 4009,84 | mscpd5.txt |   14 |
|14 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560969228497 |      61 |  2521.0 | 4032,79 | mscpd5.txt |   14 |
|15 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560969242601 |      61 |  2462.0 | 3936,07 | mscpd5.txt |   14 |
|16 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560969256449 |      61 |  2564.0 | 4103,28 | mscpd5.txt |   14 |
|17 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560969270293 |      61 |  2467.0 | 3944,26 | mscpd5.txt |   14 |
|18 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560969284115 |      61 |  2524.0 | 4037,70 | mscpd5.txt |   14 |
|19 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560969297988 |      61 |  2447.0 | 3911,48 | mscpd5.txt |   14 |
|20 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560969311838 |      61 |  2607.0 | 4173,77 | mscpd5.txt |   14 |
|21 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560969325849 |      61 |  2444.0 | 3906,56 | mscpd5.txt |   14 |
|22 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560969339799 |      61 |  2544.0 | 4070,49 | mscpd5.txt |   14 |
|23 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560969353581 |      61 |  2485.0 | 3973,77 | mscpd5.txt |   14 |
|24 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560969367375 |      61 |  2635.0 | 4219,67 | mscpd5.txt |   14 |
|25 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560969381259 |      61 |  2503.0 | 4003,28 | mscpd5.txt |   14 |
|26 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560969395283 |      61 |  2538.0 | 4060,66 | mscpd5.txt |   14 |
|27 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560969409321 |      61 |  2565.0 | 4104,92 | mscpd5.txt |   14 |
|28 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560969423459 |      61 |  2420.0 | 3867,21 | mscpd5.txt |   14 |
|29 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560969437399 |      61 |  2618.0 | 4191,80 | mscpd5.txt |   14 |
|30 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560969451486 |      61 |  2607.0 | 4173,77 | mscpd5.txt |   14 |
|31 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560969465427 |      61 |  2611.0 | 4180,33 | mscpd5.txt |   14 |
