| # | Nest |     Clusters |        Pesos | %Desc |#Iter |      semilla | BestFit |GottedFit |        RDP |  instancia | time |
-------------------------------------------------------------------------------------------------
| 1 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560969479429 |      29 |  3717.0 |12717,24 |mscpnre1.txt |   18 |
| 2 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560969497637 |      29 |  3598.0 |12306,90 |mscpnre1.txt |   18 |
| 3 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560969515854 |      29 |  3596.0 |12300,00 |mscpnre1.txt |   19 |
| 4 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560969534468 |      29 |  3639.0 |12448,28 |mscpnre1.txt |   20 |
| 5 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560969554138 |      29 |  3606.0 |12334,48 |mscpnre1.txt |   20 |
| 6 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560969573776 |      29 |  3637.0 |12441,38 |mscpnre1.txt |   20 |
| 7 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560969593568 |      29 |  3657.0 |12510,34 |mscpnre1.txt |   20 |
| 8 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560969613178 |      29 |  3577.0 |12234,48 |mscpnre1.txt |   20 |
| 9 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560969632891 |      29 |  3653.0 |12496,55 |mscpnre1.txt |   20 |
|10 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560969652624 |      29 |  3652.0 |12493,10 |mscpnre1.txt |   20 |
|11 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560969672147 |      29 |  3484.0 |11913,79 |mscpnre1.txt |   20 |
|12 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560969691877 |      29 |  3536.0 |12093,10 |mscpnre1.txt |   20 |
|13 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560969711430 |      29 |  3434.0 |11741,38 |mscpnre1.txt |   20 |
|14 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560969731096 |      29 |  3700.0 |12658,62 |mscpnre1.txt |   20 |
|15 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560969750947 |      29 |  3663.0 |12531,04 |mscpnre1.txt |   20 |
|16 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560969770626 |      29 |  3528.0 |12065,52 |mscpnre1.txt |   20 |
|17 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560969790282 |      29 |  3460.0 |11831,04 |mscpnre1.txt |   20 |
|18 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560969810234 |      29 |  3684.0 |12603,45 |mscpnre1.txt |   20 |
|19 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560969830046 |      29 |  3644.0 |12465,52 |mscpnre1.txt |   20 |
|20 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560969850043 |      29 |  3717.0 |12717,24 |mscpnre1.txt |   18 |
|21 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560969868292 |      29 |  3735.0 |12779,31 |mscpnre1.txt |   18 |
|22 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560969886391 |      29 |  3624.0 |12396,55 |mscpnre1.txt |   19 |
|23 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560969904973 |      29 |  3641.0 |12455,17 |mscpnre1.txt |   19 |
|24 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560969923515 |      29 |  3639.0 |12448,28 |mscpnre1.txt |   18 |
|25 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560969941838 |      29 |  3656.0 |12506,90 |mscpnre1.txt |   18 |
|26 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560969959851 |      29 |  3467.0 |11855,17 |mscpnre1.txt |   18 |
|27 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560969978136 |      29 |  3627.0 |12406,90 |mscpnre1.txt |   18 |
|28 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560969996213 |      29 |  3643.0 |12462,07 |mscpnre1.txt |   18 |
|29 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560970014379 |      29 |  3524.0 |12051,72 |mscpnre1.txt |   18 |
|30 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560970032801 |      29 |  3736.0 |12782,76 |mscpnre1.txt |   18 |
|31 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560970050793 |      29 |  3586.0 |12265,52 |mscpnre1.txt |   18 |
