| # | Nest |     Clusters |        Pesos | %Desc |#Iter |      semilla | BestFit |GottedFit |        RDP |  instancia | time |
-------------------------------------------------------------------------------------------------
| 1 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560978382557 |     166 | 10448.0 | 6193,98 |mscpnrg3.txt |   55 |
| 2 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560978437147 |     166 | 10309.0 | 6110,24 |mscpnrg3.txt |   55 |
| 3 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560978491911 |     166 | 10038.0 | 5946,99 |mscpnrg3.txt |   55 |
| 4 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560978546885 |     166 | 10310.0 | 6110,84 |mscpnrg3.txt |   55 |
| 5 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560978602186 |     166 | 10307.0 | 6109,04 |mscpnrg3.txt |   55 |
| 6 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560978657137 |     166 | 10242.0 | 6069,88 |mscpnrg3.txt |   54 |
| 7 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560978711357 |     166 | 10442.0 | 6190,36 |mscpnrg3.txt |   55 |
| 8 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560978765882 |     166 | 10437.0 | 6187,35 |mscpnrg3.txt |   55 |
| 9 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560978820594 |     166 | 10381.0 | 6153,61 |mscpnrg3.txt |   54 |
|10 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560978875056 |     166 | 10674.0 | 6330,12 |mscpnrg3.txt |   55 |
|11 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560978929766 |     166 | 10445.0 | 6192,17 |mscpnrg3.txt |   55 |
|12 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560978984355 |     166 | 10355.0 | 6137,95 |mscpnrg3.txt |   54 |
|13 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560979038853 |     166 | 10414.0 | 6173,49 |mscpnrg3.txt |   55 |
|14 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560979093432 |     166 | 10566.0 | 6265,06 |mscpnrg3.txt |   55 |
|15 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560979148418 |     166 | 10547.0 | 6253,61 |mscpnrg3.txt |   55 |
|16 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560979203172 |     166 | 10514.0 | 6233,73 |mscpnrg3.txt |   55 |
|17 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560979257991 |     166 | 10301.0 | 6105,42 |mscpnrg3.txt |   55 |
|18 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560979313274 |     166 | 10537.0 | 6247,59 |mscpnrg3.txt |   54 |
|19 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560979367359 |     166 | 10613.0 | 6293,37 |mscpnrg3.txt |   55 |
|20 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560979421913 |     166 | 10307.0 | 6109,04 |mscpnrg3.txt |   55 |
|21 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560979477028 |     166 | 10448.0 | 6193,98 |mscpnrg3.txt |   55 |
|22 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560979531548 |     166 | 10691.0 | 6340,36 |mscpnrg3.txt |   54 |
|23 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560979585746 |     166 | 10058.0 | 5959,04 |mscpnrg3.txt |   54 |
|24 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560979639994 |     166 | 10515.0 | 6234,34 |mscpnrg3.txt |   55 |
|25 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560979694641 |     166 | 10595.0 | 6282,53 |mscpnrg3.txt |   55 |
|26 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560979749275 |     166 | 10290.0 | 6098,80 |mscpnrg3.txt |   54 |
|27 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560979803563 |     166 | 10215.0 | 6053,61 |mscpnrg3.txt |   54 |
|28 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560979857853 |     166 | 10567.0 | 6265,66 |mscpnrg3.txt |   54 |
|29 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560979912339 |     166 | 10460.0 | 6201,20 |mscpnrg3.txt |   55 |
|30 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560979967635 |     166 | 10508.0 | 6230,12 |mscpnrg3.txt |   54 |
|31 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560980021662 |     166 | 10493.0 | 6221,08 |mscpnrg3.txt |   54 |
