| # | Nest |     Clusters |        Pesos | %Desc |#Iter |      semilla | BestFit |GottedFit |        RDP |  instancia | time |
-------------------------------------------------------------------------------------------------
| 1 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560983439983 |      63 | 19607.0 |31022,22 |mscpnrh1.txt |   73 |
| 2 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560983512578 |      63 | 19527.0 |30895,24 |mscpnrh1.txt |   72 |
| 3 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560983584820 |      63 | 19828.0 |31373,02 |mscpnrh1.txt |   72 |
| 4 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560983657174 |      63 | 19410.0 |30709,53 |mscpnrh1.txt |   72 |
| 5 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560983729492 |      63 | 19895.0 |31479,36 |mscpnrh1.txt |   72 |
| 6 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560983801223 |      63 | 19649.0 |31088,89 |mscpnrh1.txt |   72 |
| 7 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560983873041 |      63 | 19229.0 |30422,22 |mscpnrh1.txt |   72 |
| 8 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560983944564 |      63 | 19298.0 |30531,75 |mscpnrh1.txt |   71 |
| 9 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560984016014 |      63 | 19751.0 |31250,79 |mscpnrh1.txt |   71 |
|10 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560984086542 |      63 | 19575.0 |30971,43 |mscpnrh1.txt |   71 |
|11 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560984157064 |      63 | 19372.0 |30649,21 |mscpnrh1.txt |   71 |
|12 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560984228115 |      63 | 19432.0 |30744,45 |mscpnrh1.txt |   71 |
|13 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560984299403 |      63 | 19693.0 |31158,73 |mscpnrh1.txt |   73 |
|14 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560984371923 |      63 | 19397.0 |30688,89 |mscpnrh1.txt |   73 |
|15 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560984444457 |      63 | 19755.0 |31257,14 |mscpnrh1.txt |   72 |
|16 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560984516862 |      63 | 19059.0 |30152,38 |mscpnrh1.txt |   72 |
|17 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560984588435 |      63 | 19796.0 |31322,22 |mscpnrh1.txt |   72 |
|18 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560984660526 |      63 | 19281.0 |30504,76 |mscpnrh1.txt |   72 |
|19 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560984732461 |      63 | 19380.0 |30661,90 |mscpnrh1.txt |   71 |
|20 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560984803850 |      63 | 19654.0 |31096,83 |mscpnrh1.txt |   71 |
|21 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560984874674 |      63 | 19495.0 |30844,45 |mscpnrh1.txt |   71 |
|22 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560984945358 |      63 | 19907.0 |31498,41 |mscpnrh1.txt |   71 |
|23 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560985016563 |      63 | 19479.0 |30819,05 |mscpnrh1.txt |   71 |
|24 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560985087410 |      63 | 19570.0 |30963,49 |mscpnrh1.txt |   72 |
|25 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560985158938 |      63 | 19739.0 |31231,75 |mscpnrh1.txt |   73 |
|26 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560985232325 |      63 | 19576.0 |30973,02 |mscpnrh1.txt |   72 |
|27 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560985304157 |      63 | 19648.0 |31087,30 |mscpnrh1.txt |   72 |
|28 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560985376242 |      63 | 19579.0 |30977,78 |mscpnrh1.txt |   72 |
|29 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560985447967 |      63 | 19509.0 |30866,67 |mscpnrh1.txt |   72 |
|30 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560985519887 |      63 | 18856.0 |29830,16 |mscpnrh1.txt |   72 |
|31 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560985591592 |      63 | 19813.0 |31349,21 |mscpnrh1.txt |   72 |
